Time,Open,High,Low,Last,Change,%Chg,Volume
"01/29/2021 17:12",29982.62,29982.62,29982.62,29982.62,0,0.00%,1725022
"01/29/2021 16:20",29982.62,29982.62,29982.62,29982.62,0,0.00%,119
"01/29/2021 16:19",29982.62,29982.62,29982.62,29982.62,0,0.00%,14291
"01/29/2021 16:18",29982.62,29982.62,29982.62,29982.62,0,0.00%,13499
"01/29/2021 16:17",29982.62,29982.62,29982.62,29982.62,0,0.00%,12690
"01/29/2021 16:16",29982.62,29982.62,29982.62,29982.62,0,0.00%,17792
"01/29/2021 16:15",29982.62,29982.62,29982.62,29982.62,0,0.00%,48689
"01/29/2021 16:14",29982.62,29982.62,29982.62,29982.62,0,0.00%,60263
"01/29/2021 16:13",29982.62,29982.62,29982.62,29982.62,0,0.00%,15384
"01/29/2021 16:12",29982.62,29982.62,29982.62,29982.62,0,0.00%,35266
"01/29/2021 16:11",29982.62,29982.62,29982.62,29982.62,0,0.00%,156445
"01/29/2021 16:10",29982.62,29982.62,29982.62,29982.62,0,0.00%,75124
"01/29/2021 16:09",29982.62,29982.62,29982.62,29982.62,0,0.00%,51401
"01/29/2021 16:08",29982.62,29982.62,29982.62,29982.62,0,0.00%,36220
"01/29/2021 16:07",29982.62,29982.62,29982.62,29982.62,0,0.00%,2007311
"01/29/2021 16:06",29982.62,29982.62,29982.62,29982.62,0,0.00%,2576213
"01/29/2021 16:05",29982.68,29982.68,29982.62,29982.62,-0.06,0.00%,4646061
"01/29/2021 16:04",29980.44,29982.68,29980.44,29982.68,2.24,+0.01%,7077300
"01/29/2021 16:03",29981.17,29981.17,29980.44,29980.44,-0.73,0.00%,6600865
"01/29/2021 16:02",29980.84,29981.17,29980.84,29981.17,0.33,0.00%,3406147
"01/29/2021 16:01",29980.84,29980.84,29980.84,29980.84,0,0.00%,874307
"01/29/2021 16:00",29973.47,29982.62,29973.47,29980.84,-0.62,0.00%,57829535
"01/29/2021 15:59",30030.62,30051.72,29961.73,29981.46,-51.88,-0.17%,12374849
"01/29/2021 15:58",30092.13,30092.13,30033.34,30033.34,-57.39,-0.19%,5046886
"01/29/2021 15:57",30144.12,30148.29,30088.68,30090.73,-56.88,-0.19%,3133763
"01/29/2021 15:56",30141.88,30171.74,30140.03,30147.61,4.92,+0.02%,2805119
"01/29/2021 15:55",30109.27,30146.81,30109.27,30142.69,34.29,+0.11%,3153724
"01/29/2021 15:54",30137.6,30144.19,30108.4,30108.4,-28.37,-0.09%,2262534
"01/29/2021 15:53",30126.31,30141.58,30123.22,30136.77,10.17,+0.03%,1864983
"01/29/2021 15:52",30092.99,30137.8,30092.33,30126.6,34.44,+0.11%,2068153
"01/29/2021 15:51",30104.39,30104.39,30081.37,30092.16,-9.04,-0.03%,1655391
"01/29/2021 15:50",30025.73,30114.88,30025.73,30101.2,76.26,+0.25%,3100551
"01/29/2021 15:49",30016.44,30034.84,30012.79,30024.94,9.75,+0.03%,1907126
"01/29/2021 15:48",30006.43,30029.65,30006.43,30015.19,8.66,+0.03%,1605466
"01/29/2021 15:47",30008.88,30012.87,30002.5,30006.53,-3.44,-0.01%,1425767
"01/29/2021 15:46",30021.05,30034.66,30008.14,30009.97,-10.9,-0.04%,1442105
"01/29/2021 15:45",30043.41,30045.87,30007.42,30020.87,-23.35,-0.08%,1951644
"01/29/2021 15:44",30040.37,30045.33,30030.82,30044.22,3.42,+0.01%,1171404
"01/29/2021 15:43",30069.43,30069.96,30040.09,30040.8,-32.12,-0.11%,1412459
"01/29/2021 15:42",30078.3,30085.84,30066.64,30072.92,-5.4,-0.02%,1146903
"01/29/2021 15:41",30085.27,30085.34,30073.18,30078.32,-6.83,-0.02%,1144002
"01/29/2021 15:40",30075.04,30085.18,30069.04,30085.15,9.27,+0.03%,1270864
"01/29/2021 15:39",30099.93,30102.26,30075.88,30075.88,-24.02,-0.08%,1234973
"01/29/2021 15:38",30103.78,30117.07,30099.9,30099.9,-5.79,-0.02%,1205987
"01/29/2021 15:37",30145.52,30145.52,30102.29,30105.69,-40.41,-0.13%,1320327
"01/29/2021 15:36",30164.18,30167.82,30143.93,30146.1,-18.98,-0.06%,1144540
"01/29/2021 15:35",30185.33,30185.33,30165.08,30165.08,-21.43,-0.07%,1259131
"01/29/2021 15:34",30195.3,30196.06,30173.07,30186.51,-5.47,-0.02%,1282761
"01/29/2021 15:33",30208.19,30211.38,30190.66,30191.98,-14.7,-0.05%,1172916
"01/29/2021 15:32",30173.99,30207.17,30168.52,30206.68,32.83,+0.11%,1419829
"01/29/2021 15:31",30163.71,30181.74,30158.22,30173.85,10.53,+0.03%,1092462
"01/29/2021 15:30",30138.95,30165.49,30138.95,30163.32,24.55,+0.08%,1110591
"01/29/2021 15:29",30139.71,30149.24,30137.02,30138.77,-1.23,0.00%,849015
"01/29/2021 15:28",30152.12,30158.41,30140,30140,-11.56,-0.04%,897373
"01/29/2021 15:27",30157.11,30157.11,30143.16,30151.56,-5.06,-0.02%,957436
"01/29/2021 15:26",30162.73,30173.75,30156.62,30156.62,-8.01,-0.03%,939429
"01/29/2021 15:25",30167.1,30182.87,30164.5,30164.63,-3.87,-0.01%,991159
"01/29/2021 15:24",30176.39,30176.39,30163.77,30168.5,-7.52,-0.02%,958573
"01/29/2021 15:23",30182.02,30182.49,30171.93,30176.02,-6.19,-0.02%,762270
"01/29/2021 15:22",30189.23,30189.23,30173.26,30182.21,-6.96,-0.02%,920367
"01/29/2021 15:21",30173.72,30189.38,30163.95,30189.17,16.24,+0.05%,1040030
"01/29/2021 15:20",30149.79,30175.13,30149.27,30172.93,23.32,+0.08%,1152109
"01/29/2021 15:19",30146.08,30162.15,30146.08,30149.61,4.29,+0.01%,853714
"01/29/2021 15:18",30151.41,30154.55,30142.56,30145.32,-6.12,-0.02%,741936
"01/29/2021 15:17",30154.91,30157.42,30141.29,30151.44,-4.14,-0.01%,770316
"01/29/2021 15:16",30151.55,30155.77,30145.65,30155.58,4.42,+0.01%,970810
"01/29/2021 15:15",30158.61,30164.51,30138.49,30151.16,-6.54,-0.02%,1067254
"01/29/2021 15:14",30151.45,30162.47,30151.45,30157.7,6.13,+0.02%,731022
"01/29/2021 15:13",30175.09,30175.09,30150.97,30151.57,-20.99,-0.07%,942731
"01/29/2021 15:12",30152.76,30174.1,30152.76,30172.56,19.61,+0.07%,1130131
"01/29/2021 15:11",30154.21,30157.96,30142.77,30152.95,-1.4,0.00%,764001
"01/29/2021 15:10",30143.91,30161.16,30143.91,30154.35,8.45,+0.03%,951324
"01/29/2021 15:09",30141.86,30148.42,30137.37,30145.9,3.86,+0.01%,815513
"01/29/2021 15:08",30114.87,30143.06,30114.87,30142.04,24.52,+0.08%,676755
"01/29/2021 15:07",30129.95,30136.31,30117.52,30117.52,-12.71,-0.04%,731283
"01/29/2021 15:06",30116.67,30130.37,30115.04,30130.23,11.95,+0.04%,799379
"01/29/2021 15:05",30136.26,30144.01,30118.28,30118.28,-19.88,-0.07%,1032541
