Time,Open,High,Low,Last,Change,%Chg,Volume
"02/26/2021 17:04",30932.37,30932.37,30932.37,30932.37,0,0.00%,6657629
"02/26/2021 16:20",30932.37,30932.37,30932.37,30932.37,0,0.00%,1088
"02/26/2021 16:19",30932.37,30932.37,30932.37,30932.37,0,0.00%,18445
"02/26/2021 16:18",30932.37,30932.37,30932.37,30932.37,0,0.00%,29914
"02/26/2021 16:17",30932.37,30932.37,30932.37,30932.37,0,0.00%,48072
"02/26/2021 16:16",30932.37,30932.37,30932.37,30932.37,0,0.00%,28313
"02/26/2021 16:15",30932.37,30932.37,30932.37,30932.37,0,0.00%,58042
"02/26/2021 16:14",30932.37,30932.37,30932.37,30932.37,0,0.00%,3052159
"02/26/2021 16:13",30932.37,30932.37,30932.37,30932.37,0,0.00%,278921
"02/26/2021 16:12",30932.37,30932.37,30932.37,30932.37,0,0.00%,199697
"02/26/2021 16:11",30932.37,30932.37,30932.37,30932.37,0,0.00%,76536
"02/26/2021 16:10",30932.37,30932.37,30932.37,30932.37,0,0.00%,1166964
"02/26/2021 16:09",30932.37,30932.37,30932.37,30932.37,0,0.00%,389139
"02/26/2021 16:08",30932.37,30932.37,30932.37,30932.37,0,0.00%,591431
"02/26/2021 16:07",30932.37,30932.37,30932.37,30932.37,0,0.00%,392073
"02/26/2021 16:06",30932.37,30932.37,30932.37,30932.37,0,0.00%,225938
"02/26/2021 16:05",30930.52,30932.37,30930.52,30932.37,1.85,+0.01%,4848690
"02/26/2021 16:04",30927.1,30930.52,30927.1,30930.52,3.42,+0.01%,8229067
"02/26/2021 16:03",30927.76,30927.76,30927.1,30927.1,-0.66,0.00%,5103763
"02/26/2021 16:02",30926.84,30927.76,30926.77,30927.76,0.92,0.00%,5383153
"02/26/2021 16:01",30926.84,30926.84,30926.84,30926.84,0,0.00%,1130507
"02/26/2021 16:00",30919.5,30929.67,30919.5,30926.84,-6.84,-0.02%,73632298
"02/26/2021 15:59",31032.53,31032.53,30933.68,30933.68,-98.02,-0.32%,12325212
"02/26/2021 15:58",31035.65,31039.08,31011.23,31031.7,-4.62,-0.01%,5539727
"02/26/2021 15:57",31063.6,31067.05,31036.32,31036.32,-28.39,-0.09%,3755158
"02/26/2021 15:56",31071.79,31096.09,31052.87,31064.71,-5.07,-0.02%,3963198
"02/26/2021 15:55",31067.25,31074.37,31049.51,31069.78,-1.09,0.00%,4809051
"02/26/2021 15:54",31125,31125,31070.87,31070.87,-55.39,-0.18%,3322182
"02/26/2021 15:53",31172.67,31172.67,31116.98,31126.26,-46.91,-0.15%,2770572
"02/26/2021 15:52",31163.34,31184.99,31163.34,31173.17,9.13,+0.03%,2313628
"02/26/2021 15:51",31170.64,31180.83,31156.64,31164.04,-8.11,-0.03%,2119133
"02/26/2021 15:50",31224.67,31224.67,31161.83,31172.15,-56.22,-0.18%,3620270
"02/26/2021 15:49",31211.98,31241.92,31211.98,31228.37,18.3,+0.06%,1887535
"02/26/2021 15:48",31203.05,31218.62,31203.05,31210.07,7.12,+0.02%,1426999
"02/26/2021 15:47",31195.58,31212.73,31195.17,31202.95,6.09,+0.02%,1508871
"02/26/2021 15:46",31189.36,31199.87,31187.05,31196.86,8.12,+0.03%,1571285
"02/26/2021 15:45",31136.13,31188.74,31136.13,31188.74,52.29,+0.17%,3157903
"02/26/2021 15:44",31147.42,31150.71,31134.13,31136.45,-11.1,-0.04%,1213650
"02/26/2021 15:43",31127.22,31151.04,31127.22,31147.55,20.43,+0.07%,1234340
"02/26/2021 15:42",31115.94,31130.01,31109.51,31127.12,10.92,+0.04%,1073218
"02/26/2021 15:41",31097.77,31116.53,31096.25,31116.2,18.67,+0.06%,1075231
"02/26/2021 15:40",31086.59,31098.21,31072.4,31097.53,10.64,+0.03%,1273311
"02/26/2021 15:39",31077.62,31091.54,31077.62,31086.89,9.43,+0.03%,1183190
"02/26/2021 15:38",31072.97,31089.13,31071.03,31077.46,3.89,+0.01%,973236
"02/26/2021 15:37",31080.99,31085.64,31071.14,31073.57,-7.71,-0.02%,969886
"02/26/2021 15:36",31104.15,31104.15,31078.78,31081.28,-25.31,-0.08%,958888
"02/26/2021 15:35",31099.46,31111.07,31090.05,31106.59,7.96,+0.03%,1003367
"02/26/2021 15:34",31099.78,31109.93,31096.79,31098.63,-1.06,0.00%,832128
"02/26/2021 15:33",31084.03,31102.56,31083.8,31099.69,15.2,+0.05%,795110
"02/26/2021 15:32",31092.33,31103.45,31083.53,31084.49,-7.54,-0.02%,1294944
"02/26/2021 15:31",31083.97,31093.28,31080.75,31092.03,8.22,+0.03%,890739
