Time,Open,High,Low,Last,Change,%Chg,Volume
"03/31/2021 17:05",32981.55,32981.55,32981.55,32981.55,0,0.00%,4496528
"03/31/2021 16:20",32981.55,32981.55,32981.55,32981.55,0,0.00%,1222
"03/31/2021 16:19",32981.55,32981.55,32981.55,32981.55,0,0.00%,101832
"03/31/2021 16:18",32981.55,32981.55,32981.55,32981.55,0,0.00%,52957
"03/31/2021 16:17",32981.55,32981.55,32981.55,32981.55,0,0.00%,18562
"03/31/2021 16:16",32981.55,32981.55,32981.55,32981.55,0,0.00%,24827
"03/31/2021 16:15",32981.55,32981.55,32981.55,32981.55,0,0.00%,12240
"03/31/2021 16:14",32981.55,32981.55,32981.55,32981.55,0,0.00%,14989
"03/31/2021 16:13",32981.55,32981.55,32981.55,32981.55,0,0.00%,371898
"03/31/2021 16:12",32981.55,32981.55,32981.55,32981.55,0,0.00%,14677
"03/31/2021 16:11",32981.55,32981.55,32981.55,32981.55,0,0.00%,15623
"03/31/2021 16:10",32981.55,32981.55,32981.55,32981.55,0,0.00%,13713
"03/31/2021 16:09",32981.55,32981.55,32981.55,32981.55,0,0.00%,91195
"03/31/2021 16:08",32981.55,32981.55,32981.55,32981.55,0,0.00%,5967751
"03/31/2021 16:07",32981.55,32981.55,32981.55,32981.55,0,0.00%,3905704
"03/31/2021 16:06",32981.55,32981.55,32981.55,32981.55,0,0.00%,30520
"03/31/2021 16:05",32980.96,32981.55,32980.96,32981.55,0.59,0.00%,7705048
"03/31/2021 16:04",32980.57,32980.96,32980.57,32980.96,0.39,0.00%,6161887
"03/31/2021 16:03",32983.99,32983.99,32980.57,32980.57,-3.42,-0.01%,3960964
"03/31/2021 16:02",32984.65,32984.65,32983.99,32983.99,-0.66,0.00%,3770055
"03/31/2021 16:01",32984.65,32984.65,32984.65,32984.65,0,0.00%,198728
"03/31/2021 16:00",32997.28,32997.28,32984.65,32984.65,-8.42,-0.03%,62840754
"03/31/2021 15:59",33056.66,33061.99,32988.99,32993.07,-57.28,-0.17%,14147477
"03/31/2021 15:58",33039.62,33050.35,33031.43,33050.35,14.94,+0.05%,5174130
"03/31/2021 15:57",33038.78,33049.34,33029.98,33035.41,-4.51,-0.01%,4303762
"03/31/2021 15:56",33034.39,33054.2,33028.33,33039.92,10.88,+0.03%,4575761
"03/31/2021 15:55",33054.2,33064.26,33021.62,33029.04,-27.69,-0.08%,6161305
"03/31/2021 15:54",33057.32,33073.88,33055.41,33056.73,-0.08,0.00%,4396958
"03/31/2021 15:53",33065.98,33065.98,33050.39,33056.81,-8.65,-0.03%,1834334
"03/31/2021 15:52",33069.81,33071.45,33055.63,33065.46,-4.79,-0.01%,1536948
"03/31/2021 15:51",33065.4,33078.5,33061.38,33070.25,4.99,+0.02%,1702858
"03/31/2021 15:50",33048.01,33065.54,33029.8,33065.26,24.75,+0.07%,3087709
"03/31/2021 15:49",33046.81,33053.5,33037.89,33040.51,-6.41,-0.02%,1106052
"03/31/2021 15:48",33035.02,33048.11,33029.04,33046.92,11.24,+0.03%,1257067
"03/31/2021 15:47",33039.47,33043.27,33034.04,33035.68,-4.5,-0.01%,891308
"03/31/2021 15:46",33030.06,33041.66,33026.8,33040.18,13.88,+0.04%,1116688
"03/31/2021 15:45",33033.72,33039.68,33024.11,33026.3,-7.48,-0.02%,1338197
"03/31/2021 15:44",33033.28,33040.91,33032.19,33033.78,-0.33,0.00%,914928
"03/31/2021 15:43",33055.71,33056.74,33033.18,33034.11,-21.69,-0.07%,836355
"03/31/2021 15:42",33056.28,33056.79,33050.05,33055.8,-0.86,0.00%,726070
"03/31/2021 15:41",33046.23,33060.42,33046.23,33056.66,10.01,+0.03%,699334
"03/31/2021 15:40",33047.95,33049.69,33032.03,33046.65,-1.35,0.00%,1153723
"03/31/2021 15:39",33059.09,33060.95,33045.93,33048,-10.67,-0.03%,834468
"03/31/2021 15:38",33065.73,33065.73,33054.42,33058.67,-7.45,-0.02%,776703
