Time,Open,High,Low,Last,Change,%Chg,Volume
"04/30/2021 17:16",33874.85,33874.85,33874.85,33874.85,0,0.00%,1220011
"04/30/2021 16:20",33874.85,33874.85,33874.85,33874.85,0,0.00%,6
"04/30/2021 16:19",33874.85,33874.85,33874.85,33874.85,0,0.00%,461311
"04/30/2021 16:18",33874.85,33874.85,33874.85,33874.85,0,0.00%,9918
"04/30/2021 16:17",33874.85,33874.85,33874.85,33874.85,0,0.00%,67316
"04/30/2021 16:16",33874.85,33874.85,33874.85,33874.85,0,0.00%,9725
"04/30/2021 16:15",33874.85,33874.85,33874.85,33874.85,0,0.00%,5068
"04/30/2021 16:14",33874.85,33874.85,33874.85,33874.85,0,0.00%,21377
"04/30/2021 16:13",33874.85,33874.85,33874.85,33874.85,0,0.00%,13052
"04/30/2021 16:12",33874.85,33874.85,33874.85,33874.85,0,0.00%,5892
"04/30/2021 16:11",33874.85,33874.85,33874.85,33874.85,0,0.00%,867850
"04/30/2021 16:10",33874.85,33874.85,33874.85,33874.85,0,0.00%,462766
"04/30/2021 16:09",33874.85,33874.85,33874.85,33874.85,0,0.00%,923616
"04/30/2021 16:08",33874.85,33874.85,33874.85,33874.85,0,0.00%,295013
"04/30/2021 16:07",33874.85,33874.85,33874.85,33874.85,0,0.00%,9087
"04/30/2021 16:06",33874.85,33874.85,33874.85,33874.85,0,0.00%,45895
"04/30/2021 16:05",33874.85,33874.85,33874.85,33874.85,0,0.00%,212921
"04/30/2021 16:04",33875.31,33875.31,33874.85,33874.85,-0.46,0.00%,7519203
"04/30/2021 16:03",33878.14,33878.34,33875.31,33875.31,-2.83,-0.01%,8577878
"04/30/2021 16:02",33879,33879,33878.14,33878.14,-0.86,0.00%,4496299
"04/30/2021 16:01",33879,33879,33879,33879,0,0.00%,2831116
"04/30/2021 16:00",33880.97,33886.89,33879,33879,-4.18,-0.01%,46960611
"04/30/2021 15:59",33856.7,33883.18,33849.32,33883.18,26.64,+0.08%,7914185
"04/30/2021 15:58",33856.2,33878.35,33851.5,33856.54,0.2,0.00%,4038111
"04/30/2021 15:57",33853.39,33860.16,33845.74,33856.34,1.88,+0.01%,3574362
"04/30/2021 15:56",33877.68,33877.68,33853.4,33854.46,-20.72,-0.06%,3066647
"04/30/2021 15:55",33860.06,33885.85,33860.06,33875.18,15.56,+0.05%,3755044
"04/30/2021 15:54",33864.1,33865.97,33852.38,33859.62,-3.19,-0.01%,3699352
"04/30/2021 15:53",33866.59,33870.05,33856.47,33862.81,-5.4,-0.02%,2387377
"04/30/2021 15:52",33875.45,33876.29,33861.82,33868.21,-4.14,-0.01%,1867175
"04/30/2021 15:51",33864.68,33873.26,33855.07,33872.35,6.59,+0.02%,1914785
"04/30/2021 15:50",33880.31,33880.31,33862.62,33865.76,-16.33,-0.05%,2789632
"04/30/2021 15:49",33854.59,33882.09,33854.59,33882.09,29.67,+0.09%,1921232
"04/30/2021 15:48",33823.29,33852.68,33823.29,33852.42,30.77,+0.09%,1834125
"04/30/2021 15:47",33815.19,33821.65,33810.3,33821.65,8.98,+0.03%,1151636
"04/30/2021 15:46",33826.11,33826.11,33810.74,33812.67,-14.26,-0.04%,975812
"04/30/2021 15:45",33834.09,33834.09,33822.17,33826.93,-7.59,-0.02%,1284264
"04/30/2021 15:44",33844.54,33844.54,33834.52,33834.52,-11.12,-0.03%,858877
