Time,Open,High,Low,Last,Change,%Chg,Volume
"05/28/2021 17:08",34529.45,34529.45,34529.45,34529.45,0,0.00%,3597790
"05/28/2021 16:20",34529.45,34529.45,34529.45,34529.45,0,0.00%,12
"05/28/2021 16:19",34529.45,34529.45,34529.45,34529.45,0,0.00%,14320
"05/28/2021 16:18",34529.45,34529.45,34529.45,34529.45,0,0.00%,4859
"05/28/2021 16:17",34529.45,34529.45,34529.45,34529.45,0,0.00%,3130
"05/28/2021 16:16",34529.45,34529.45,34529.45,34529.45,0,0.00%,3805
"05/28/2021 16:15",34529.45,34529.45,34529.45,34529.45,0,0.00%,59925
"05/28/2021 16:14",34529.45,34529.45,34529.45,34529.45,0,0.00%,15947
"05/28/2021 16:13",34529.45,34529.45,34529.45,34529.45,0,0.00%,6688
"05/28/2021 16:12",34529.45,34529.45,34529.45,34529.45,0,0.00%,114582
"05/28/2021 16:11",34529.45,34529.45,34529.45,34529.45,0,0.00%,326918
"05/28/2021 16:10",34529.45,34529.45,34529.45,34529.45,0,0.00%,6512
"05/28/2021 16:09",34529.45,34529.45,34529.45,34529.45,0,0.00%,7270
"05/28/2021 16:08",34529.45,34529.45,34529.45,34529.45,0,0.00%,27476
"05/28/2021 16:07",34529.45,34529.45,34529.45,34529.45,0,0.00%,14180
"05/28/2021 16:06",34529.45,34529.45,34529.45,34529.45,0,0.00%,11515
"05/28/2021 16:05",34529.45,34529.45,34529.45,34529.45,0,0.00%,12890
"05/28/2021 16:04",34529.78,34529.78,34529.45,34529.45,-0.33,0.00%,3583878
"05/28/2021 16:03",34530.7,34530.7,34529.78,34529.78,-0.92,0.00%,3807419
"05/28/2021 16:02",34530.37,34530.96,34530.3,34530.7,0.33,0.00%,4421311
"05/28/2021 16:01",34530.37,34530.37,34530.37,34530.37,0,0.00%,807672
"05/28/2021 16:00",34540.31,34540.31,34530.37,34530.37,-5.55,-0.02%,32154734
"05/28/2021 15:59",34537.41,34548.78,34523.23,34535.92,-1.47,0.00%,7396977
"05/28/2021 15:58",34557.12,34559.39,34537.39,34537.39,-20.18,-0.06%,3506621
"05/28/2021 15:57",34553.61,34566.06,34553.61,34557.57,3.75,+0.01%,2317935
"05/28/2021 15:56",34533.55,34555.03,34533.55,34553.82,21.38,+0.06%,2676888
"05/28/2021 15:55",34564.17,34564.17,34532.08,34532.44,-28.68,-0.08%,2708727
"05/28/2021 15:54",34570.33,34576.28,34557.58,34561.12,-8.81,-0.03%,3656409
"05/28/2021 15:53",34567.71,34574.07,34567.71,34569.93,1.46,0.00%,1124245
"05/28/2021 15:52",34579,34581.56,34568.47,34568.47,-10.1,-0.03%,1169854
"05/28/2021 15:51",34589.79,34589.79,34577.69,34578.57,-11.78,-0.03%,1197582
"05/28/2021 15:50",34584.64,34603.29,34580.62,34590.35,5.4,+0.02%,1968399
"05/28/2021 15:49",34590.97,34595.67,34584.95,34584.95,-5.13,-0.01%,856333
"05/28/2021 15:48",34578.31,34590.08,34576.43,34590.08,11.57,+0.03%,1101796
"05/28/2021 15:47",34576.23,34581.39,34573.75,34578.51,2.01,+0.01%,887853
"05/28/2021 15:46",34576.28,34579.63,34575.19,34576.5,0.33,0.00%,781955
"05/28/2021 15:45",34571.17,34578.22,34571.04,34576.17,4.74,+0.01%,967355
"05/28/2021 15:44",34571.39,34574.49,34570.25,34571.43,-0.05,0.00%,726918
"05/28/2021 15:43",34573.82,34574.64,34568.37,34571.48,-2.11,-0.01%,796154
"05/28/2021 15:42",34569.7,34576.75,34569.25,34573.59,3.92,+0.01%,647666
"05/28/2021 15:41",34573.45,34573.78,34569.35,34569.67,-4.18,-0.01%,720439
