Time,Open,High,Low,Last,Change,%Chg,Volume
"06/30/2021 17:23",34502.51,34502.51,34502.51,34502.51,0,0.00%,3078627
"06/30/2021 16:20",34502.51,34502.51,34502.51,34502.51,0,0.00%,0
"06/30/2021 16:19",34502.51,34502.51,34502.51,34502.51,0,0.00%,3329
"06/30/2021 16:18",34502.51,34502.51,34502.51,34502.51,0,0.00%,3476
"06/30/2021 16:17",34502.51,34502.51,34502.51,34502.51,0,0.00%,2655
"06/30/2021 16:16",34502.51,34502.51,34502.51,34502.51,0,0.00%,2636
"06/30/2021 16:15",34502.51,34502.51,34502.51,34502.51,0,0.00%,5706
"06/30/2021 16:14",34502.51,34502.51,34502.51,34502.51,0,0.00%,2119
"06/30/2021 16:13",34502.51,34502.51,34502.51,34502.51,0,0.00%,4030
"06/30/2021 16:12",34502.51,34502.51,34502.51,34502.51,0,0.00%,39429
"06/30/2021 16:11",34502.51,34502.51,34502.51,34502.51,0,0.00%,8881
"06/30/2021 16:10",34502.51,34502.51,34502.51,34502.51,0,0.00%,3622
"06/30/2021 16:09",34502.51,34502.51,34502.51,34502.51,0,0.00%,89378
"06/30/2021 16:08",34502.51,34502.51,34502.51,34502.51,0,0.00%,1601155
"06/30/2021 16:07",34502.51,34502.51,34502.51,34502.51,0,0.00%,29221
"06/30/2021 16:06",34502.51,34502.51,34502.51,34502.51,0,0.00%,97435
"06/30/2021 16:05",34503.76,34503.76,34502.38,34502.51,-1.25,0.00%,3903421
"06/30/2021 16:04",34503.76,34503.76,34503.76,34503.76,0,0.00%,4672514
"06/30/2021 16:03",34503.43,34503.76,34503.43,34503.76,0.33,0.00%,2645445
"06/30/2021 16:02",34502.58,34503.43,34502.38,34503.43,0.85,0.00%,5845804
"06/30/2021 16:01",34502.58,34502.58,34502.58,34502.58,0,0.00%,358215
"06/30/2021 16:00",34500.77,34502.58,34499.48,34502.58,-1.25,0.00%,43158804
"06/30/2021 15:59",34517.73,34522.83,34503.83,34503.83,-18.93,-0.05%,5950474
"06/30/2021 15:58",34527.77,34527.77,34517.94,34522.76,-4.05,-0.01%,3178346
"06/30/2021 15:57",34527.65,34531.87,34522.45,34526.81,-2.1,-0.01%,2845396
"06/30/2021 15:56",34540.91,34540.91,34525.56,34528.91,-12.81,-0.04%,2472466
"06/30/2021 15:55",34531.27,34553.16,34531.27,34541.72,9.9,+0.03%,3009891
"06/30/2021 15:54",34530.56,34535.84,34527.48,34531.82,0.7,0.00%,3303419
"06/30/2021 15:53",34521.11,34532.7,34519.54,34531.12,9.52,+0.03%,1757641
"06/30/2021 15:52",34516.18,34523.11,34512.79,34521.6,5.72,+0.02%,1378742
"06/30/2021 15:51",34504.85,34515.88,34504.85,34515.88,12.97,+0.04%,1817870
"06/30/2021 15:50",34498.53,34504.54,34486.94,34502.91,4.68,+0.01%,3007820
"06/30/2021 15:49",34504.23,34506.33,34497.37,34498.23,-6.12,-0.02%,1275355
"06/30/2021 15:48",34513.01,34513.94,34501.7,34504.35,-8.55,-0.02%,1044642
"06/30/2021 15:47",34505.74,34517.67,34505.59,34512.9,8,+0.02%,1305783
"06/30/2021 15:46",34506.7,34510.65,34503.18,34504.9,-0.81,0.00%,1058317
"06/30/2021 15:45",34498.98,34507.65,34498.38,34505.71,7.38,+0.02%,1258133
"06/30/2021 15:44",34493.35,34498.88,34492.85,34498.33,4.69,+0.01%,658045
"06/30/2021 15:43",34488.86,34494.05,34487.47,34493.64,4.52,+0.01%,826555
"06/30/2021 15:42",34487.78,34492.56,34486.2,34489.12,0.38,0.00%,746452
"06/30/2021 15:41",34503.7,34506.75,34487.82,34488.74,-15.29,-0.04%,1339372
"06/30/2021 15:40",34504.08,34505.81,34500.12,34504.03,0.31,0.00%,804970
"06/30/2021 15:39",34510.05,34510.05,34503.46,34503.72,-6.06,-0.02%,906597
"06/30/2021 15:38",34511.56,34513.3,34509.4,34509.78,-1.59,0.00%,1551685
"06/30/2021 15:37",34502.06,34512.59,34499.85,34511.37,9.51,+0.03%,738298
"06/30/2021 15:36",34492.69,34503.32,34492.37,34501.86,8.85,+0.03%,821963
"06/30/2021 15:35",34492.7,34498.79,34492.1,34493.01,0.97,0.00%,935603
"06/30/2021 15:34",34481.53,34493.06,34481.18,34492.04,10.78,+0.03%,1019135
"06/30/2021 15:33",34482.61,34485.26,34480.92,34481.26,-1.26,0.00%,648687
"06/30/2021 15:32",34485.93,34486.57,34480.67,34482.52,-3.46,-0.01%,558320
"06/30/2021 15:31",34486.39,34488.81,34484.2,34485.98,-0.44,0.00%,618447
"06/30/2021 15:30",34501.07,34501.07,34486.42,34486.42,-14.4,-0.04%,670137
"06/30/2021 15:29",34498.53,34503.82,34498.5,34500.82,2.43,+0.01%,400054
"06/30/2021 15:28",34495.23,34498.96,34492.98,34498.39,3.47,+0.01%,520049
"06/30/2021 15:27",34494.43,34496.73,34492.97,34494.92,0.43,0.00%,471533
"06/30/2021 15:26",34497.33,34497.76,34493.99,34494.49,-2.54,-0.01%,425231
"06/30/2021 15:25",34502.45,34503.53,34496.65,34497.03,-5.59,-0.02%,557671
"06/30/2021 15:24",34503.77,34504.34,34502.07,34502.62,-1.19,0.00%,450414
"06/30/2021 15:23",34507.62,34508.06,34502.74,34503.81,-3.94,-0.01%,361083
"06/30/2021 15:22",34503.29,34509.7,34502.39,34507.75,4.33,+0.01%,588922
"06/30/2021 15:21",34497.58,34504.48,34496.65,34503.42,5.63,+0.02%,635159
"06/30/2021 15:20",34484.05,34497.79,34484.05,34497.79,13.96,+0.04%,528000
"06/30/2021 15:19",34483.26,34484.47,34482.27,34483.83,0.08,0.00%,445806
"06/30/2021 15:18",34487.91,34487.91,34483.75,34483.75,-4.57,-0.01%,431359
"06/30/2021 15:17",34491.59,34491.59,34488.09,34488.32,-3.19,-0.01%,415198
"06/30/2021 15:16",34486.25,34491.51,34485.89,34491.51,5.2,+0.02%,400331
"06/30/2021 15:15",34486.46,34488.16,34484.36,34486.31,-0.09,0.00%,383879
"06/30/2021 15:14",34486.61,34486.91,34484.34,34486.4,-0.31,0.00%,397688
"06/30/2021 15:13",34491.08,34491.08,34486.11,34486.71,-4.29,-0.01%,406959
"06/30/2021 15:12",34483.42,34491.35,34483.38,34491,7.36,+0.02%,490578
"06/30/2021 15:11",34485.76,34487.02,34482.71,34483.64,-1.96,-0.01%,391112
"06/30/2021 15:10",34479.91,34487.06,34479.72,34485.6,5.7,+0.02%,544815
"06/30/2021 15:09",34480.12,34480.12,34477.95,34479.9,-0.22,0.00%,424129
"06/30/2021 15:08",34479.88,34481.13,34479.23,34480.12,0.35,0.00%,1316307
"06/30/2021 15:07",34480.71,34483.04,34479.06,34479.77,-0.56,0.00%,288818
"06/30/2021 15:06",34477.02,34482.31,34477.02,34480.33,3.31,+0.01%,430153
"06/30/2021 15:05",34473.96,34479.56,34473.96,34477.02,2.8,+0.01%,435305
"06/30/2021 15:04",34478.28,34478.32,34473.74,34474.22,-4.28,-0.01%,335845
"06/30/2021 15:03",34475.07,34478.5,34473.14,34478.5,3.11,+0.01%,343691
"06/30/2021 15:02",34476.39,34476.82,34473.9,34475.39,-0.69,0.00%,344099
"06/30/2021 15:01",34474.48,34478.02,34474.48,34476.08,2.27,+0.01%,305502
"06/30/2021 15:00",34478.36,34480.57,34472.62,34473.81,-4.46,-0.01%,493554
"06/30/2021 14:59",34481.73,34482.28,34477.82,34478.27,-3.01,-0.01%,255731
"06/30/2021 14:58",34483.33,34483.35,34479.81,34481.28,-1.96,-0.01%,295967
"06/30/2021 14:57",34477.49,34483.24,34477.17,34483.24,5.71,+0.02%,433706
"06/30/2021 14:56",34475.07,34478.35,34474.63,34477.53,2.49,+0.01%,297109
"06/30/2021 14:55",34467.73,34475.04,34467.73,34475.04,7.16,+0.02%,402232
"06/30/2021 14:54",34474.09,34474.75,34466.6,34467.88,-6.38,-0.02%,333233
"06/30/2021 14:53",34476.07,34476.75,34473.15,34474.26,-1.97,-0.01%,360249
"06/30/2021 14:52",34481.75,34481.75,34475.99,34476.23,-5.45,-0.02%,337080
"06/30/2021 14:51",34479.2,34482.66,34478.19,34481.68,2.6,+0.01%,277881
"06/30/2021 14:50",34482.58,34483.45,34478.1,34479.08,-3.54,-0.01%,288938
"06/30/2021 14:49",34483.61,34485.68,34482.46,34482.62,-1.14,0.00%,258951
"06/30/2021 14:48",34482.14,34485.53,34481.77,34483.76,1.32,0.00%,290329
"06/30/2021 14:47",34483.17,34483.23,34481.76,34482.44,-0.8,0.00%,231094
"06/30/2021 14:46",34478.91,34483.77,34478.91,34483.24,4.14,+0.01%,403522
"06/30/2021 14:45",34481.01,34482.96,34479.1,34479.1,-1.94,-0.01%,328369
"06/30/2021 14:44",34482.32,34484.81,34481.04,34481.04,-1.15,0.00%,301361
"06/30/2021 14:43",34482.76,34484.71,34481.17,34482.19,-0.46,0.00%,248331
"06/30/2021 14:42",34484.74,34486.3,34482.52,34482.65,-1.63,0.00%,527374
"06/30/2021 14:41",34481.63,34484.28,34480.64,34484.28,2.96,+0.01%,258350
"06/30/2021 14:40",34479.46,34482.43,34478.66,34481.32,1.72,0.00%,363147
"06/30/2021 14:39",34479.67,34480.72,34477.72,34479.6,-0.1,0.00%,330629
"06/30/2021 14:38",34477.23,34482.26,34477.21,34479.7,2.8,+0.01%,292993
"06/30/2021 14:37",34481.74,34481.9,34476.55,34476.9,-4.75,-0.01%,367785
"06/30/2021 14:36",34477.97,34481.95,34475.55,34481.65,3.58,+0.01%,467688
"06/30/2021 14:35",34480.62,34480.74,34478.07,34478.07,-2.75,-0.01%,358501
"06/30/2021 14:34",34481.21,34481.77,34477.86,34480.82,-0.22,0.00%,585437
"06/30/2021 14:33",34480.66,34481.14,34477.82,34481.04,0.26,0.00%,538044
"06/30/2021 14:32",34481.93,34483.62,34480.74,34480.78,-1.01,0.00%,421591
"06/30/2021 14:31",34478.34,34482.28,34477.12,34481.79,3.37,+0.01%,381623
"06/30/2021 14:30",34481.67,34483.33,34478.34,34478.42,-3.16,-0.01%,353181
"06/30/2021 14:29",34478.98,34482.7,34478.98,34481.58,2.53,+0.01%,483058
"06/30/2021 14:28",34478.75,34479.64,34477.33,34479.05,0.58,0.00%,436271
"06/30/2021 14:27",34477.71,34478.68,34475.16,34478.47,0.63,0.00%,291284
"06/30/2021 14:26",34475.33,34479.88,34475.33,34477.84,2.79,+0.01%,353109
"06/30/2021 14:25",34473.79,34476.93,34473.37,34475.05,1.11,0.00%,354102
"06/30/2021 14:24",34477.36,34478.15,34473.38,34473.94,-3.6,-0.01%,286067
"06/30/2021 14:23",34478.5,34480.53,34477.54,34477.54,-1.68,0.00%,334984
"06/30/2021 14:22",34475.88,34479.32,34475.88,34479.22,3.18,+0.01%,385688
"06/30/2021 14:21",34472.39,34476.04,34471.77,34476.04,4.11,+0.01%,315868
"06/30/2021 14:20",34471.52,34473.34,34471.52,34471.93,0.81,0.00%,345714
"06/30/2021 14:19",34474.58,34474.58,34470.76,34471.12,-3.31,-0.01%,492694
"06/30/2021 14:18",34475.89,34477.14,34474.43,34474.43,-1.65,0.00%,308878
"06/30/2021 14:17",34471.69,34476.61,34471.69,34476.08,4.42,+0.01%,354494
"06/30/2021 14:16",34463.28,34473.41,34463,34471.66,8.52,+0.02%,351508
"06/30/2021 14:15",34466.96,34467.67,34461.59,34463.14,-3.82,-0.01%,370341
"06/30/2021 14:14",34466.04,34467.15,34464.85,34466.96,0.98,0.00%,287539
"06/30/2021 14:13",34458.62,34466.01,34458.62,34465.98,7.86,+0.02%,324525
"06/30/2021 14:12",34455.32,34458.16,34452.58,34458.12,2.85,+0.01%,446937
"06/30/2021 14:11",34451.68,34457.68,34451.68,34455.27,3.77,+0.01%,263515
"06/30/2021 14:10",34458.5,34458.5,34450.23,34451.5,-6.86,-0.02%,369883
"06/30/2021 14:09",34458.76,34461.25,34456.13,34458.36,-0.42,0.00%,307726
"06/30/2021 14:08",34459.85,34460.74,34457.81,34458.78,-1.18,0.00%,280758
"06/30/2021 14:07",34458.82,34460.03,34457.04,34459.96,0.95,0.00%,252048
"06/30/2021 14:06",34461.82,34467.69,34458.75,34459.01,-2.88,-0.01%,371187
"06/30/2021 14:05",34464.26,34464.82,34458.98,34461.89,-2.43,-0.01%,300054
"06/30/2021 14:04",34459.99,34464.32,34459.85,34464.32,4.43,+0.01%,311193
"06/30/2021 14:03",34458.21,34459.89,34456.87,34459.89,1.8,+0.01%,253531
"06/30/2021 14:02",34460.56,34460.56,34456.62,34458.09,-2.66,-0.01%,342736
"06/30/2021 14:01",34459.81,34461.35,34458.7,34460.75,0.85,0.00%,238109
"06/30/2021 14:00",34462.67,34464.1,34459.69,34459.9,-2.85,-0.01%,352433
"06/30/2021 13:59",34460.44,34466.62,34460.32,34462.75,2.44,+0.01%,373305
"06/30/2021 13:58",34460.39,34461.79,34458.44,34460.31,0.16,0.00%,246648
"06/30/2021 13:57",34457.04,34460.35,34456.36,34460.15,3.17,+0.01%,264909
"06/30/2021 13:56",34460.02,34460.5,34455.67,34456.98,-3.09,-0.01%,286718
"06/30/2021 13:55",34459.88,34461.87,34458.75,34460.07,-0.03,0.00%,383186
"06/30/2021 13:54",34457.97,34462,34456.54,34460.1,1.47,0.00%,232639
"06/30/2021 13:53",34458.53,34460.61,34456.95,34458.63,-0.05,0.00%,315138
"06/30/2021 13:52",34458.4,34460,34458.14,34458.68,0.35,0.00%,244697
"06/30/2021 13:51",34454.72,34458.76,34454.72,34458.33,3.61,+0.01%,298880
"06/30/2021 13:50",34456.8,34457.01,34453.99,34454.72,-2.31,-0.01%,372461
"06/30/2021 13:49",34453.6,34457.14,34453.47,34457.03,5.02,+0.01%,255144
"06/30/2021 13:48",34450.59,34452.35,34449.77,34452.01,1.63,0.00%,377763
"06/30/2021 13:47",34456.93,34456.93,34450.2,34450.38,-6.89,-0.02%,347085
"06/30/2021 13:46",34456.11,34457.3,34455.79,34457.27,1.27,0.00%,229718
"06/30/2021 13:45",34457.78,34458.25,34455.79,34456,-1.75,-0.01%,262799
"06/30/2021 13:44",34458.38,34460.64,34457.75,34457.75,-0.14,0.00%,291535
"06/30/2021 13:43",34455.6,34458.22,34453.22,34457.89,2.04,+0.01%,354578
"06/30/2021 13:42",34457.54,34458.8,34455.63,34455.85,-1.79,-0.01%,409330
"06/30/2021 13:41",34461.96,34461.96,34455.98,34457.64,-4.32,-0.01%,350861
"06/30/2021 13:40",34468.35,34468.35,34461.54,34461.96,-6.3,-0.02%,475866
"06/30/2021 13:39",34464.79,34468.36,34463.95,34468.26,3.66,+0.01%,354841
"06/30/2021 13:38",34464.09,34464.62,34462.05,34464.6,0.54,0.00%,282094
"06/30/2021 13:37",34459.2,34465.23,34458.53,34464.06,5.18,+0.02%,306822
"06/30/2021 13:36",34462.2,34462.63,34458.2,34458.88,-3.29,-0.01%,396733
"06/30/2021 13:35",34461.86,34462.43,34459.14,34462.17,0.27,0.00%,348454
"06/30/2021 13:34",34459.09,34463.01,34458.35,34461.9,2.89,+0.01%,390197
"06/30/2021 13:33",34460.69,34461.07,34458.38,34459.01,-1.88,-0.01%,318687
"06/30/2021 13:32",34464.51,34464.51,34457.83,34460.89,-3.57,-0.01%,382337
"06/30/2021 13:31",34464.81,34467.53,34463.51,34464.46,-0.15,0.00%,285783
"06/30/2021 13:30",34462.57,34466.21,34461.78,34464.61,2.09,+0.01%,318547
"06/30/2021 13:29",34460.22,34463.49,34460.22,34462.52,1.79,+0.01%,295469
"06/30/2021 13:28",34462.78,34462.96,34459.93,34460.73,-1.96,-0.01%,296862
"06/30/2021 13:27",34470.6,34470.6,34462.67,34462.69,-7.98,-0.02%,187714
"06/30/2021 13:26",34470.78,34471.09,34467.93,34470.67,-0.28,0.00%,311132
"06/30/2021 13:25",34471.92,34471.92,34468.38,34470.95,-0.87,0.00%,307702
"06/30/2021 13:24",34468.72,34472.25,34466.88,34471.82,3.1,+0.01%,283253
"06/30/2021 13:23",34465.24,34472.68,34464.87,34468.72,3.42,+0.01%,258621
"06/30/2021 13:22",34457.67,34466.51,34457.67,34465.3,7.57,+0.02%,316918
"06/30/2021 13:21",34460.88,34461.2,34457.01,34457.73,-3.08,-0.01%,349402
"06/30/2021 13:20",34456.21,34460.81,34454.5,34460.81,4.57,+0.01%,312455
"06/30/2021 13:19",34458.51,34460.76,34456.02,34456.24,-2.27,-0.01%,316820
