Time,Open,High,Low,Last,Change,%Chg,Volume
"07/30/2021 17:06",34935.47,34935.47,34935.47,34935.47,0,0.00%,4735280
"07/30/2021 16:20",34935.47,34935.47,34935.47,34935.47,0,0.00%,500
"07/30/2021 16:19",34935.47,34935.47,34935.47,34935.47,0,0.00%,13913
"07/30/2021 16:18",34935.47,34935.47,34935.47,34935.47,0,0.00%,7252
"07/30/2021 16:17",34935.47,34935.47,34935.47,34935.47,0,0.00%,12403
"07/30/2021 16:16",34935.47,34935.47,34935.47,34935.47,0,0.00%,4739
"07/30/2021 16:15",34935.47,34935.47,34935.47,34935.47,0,0.00%,2559
"07/30/2021 16:14",34935.47,34935.47,34935.47,34935.47,0,0.00%,7382
"07/30/2021 16:13",34935.47,34935.47,34935.47,34935.47,0,0.00%,32714
"07/30/2021 16:12",34935.47,34935.47,34935.47,34935.47,0,0.00%,1000865
"07/30/2021 16:11",34935.47,34935.47,34935.47,34935.47,0,0.00%,1025806
"07/30/2021 16:10",34935.47,34935.47,34935.47,34935.47,0,0.00%,2662433
"07/30/2021 16:09",34935.47,34935.47,34935.47,34935.47,0,0.00%,6984
"07/30/2021 16:08",34935.47,34935.47,34935.47,34935.47,0,0.00%,109959
"07/30/2021 16:07",34935.47,34935.47,34935.47,34935.47,0,0.00%,1148635
"07/30/2021 16:06",34935.47,34935.47,34935.47,34935.47,0,0.00%,6164
"07/30/2021 16:05",34935.47,34935.47,34935.47,34935.47,0,0.00%,9223
"07/30/2021 16:04",34934.81,34935.47,34934.81,34935.47,0.66,0.00%,4155414
"07/30/2021 16:03",34935.34,34935.6,34934.81,34934.81,-0.53,0.00%,8776343
"07/30/2021 16:02",34936.13,34936.13,34935.34,34935.34,-0.79,0.00%,1991886
"07/30/2021 16:01",34936.13,34936.13,34936.13,34936.13,0,0.00%,250488
"07/30/2021 16:00",34936.09,34939.16,34936.06,34936.13,-2.04,-0.01%,37661119
"07/30/2021 15:59",34936.29,34942.25,34927.04,34938.17,0.13,0.00%,6892675
"07/30/2021 15:58",34920.75,34938.34,34918.34,34938.04,15.83,+0.05%,2672422
"07/30/2021 15:57",34922.28,34927.34,34915.54,34922.21,0.73,0.00%,2317596
"07/30/2021 15:56",34920.49,34923.46,34908.05,34921.48,0,0.00%,1910190
"07/30/2021 15:55",34912.7,34923.05,34909.47,34921.48,9.22,+0.03%,2606871
"07/30/2021 15:54",34935.1,34935.1,34912.26,34912.26,-22.7,-0.06%,2132333
"07/30/2021 15:53",34932.21,34942.82,34927.58,34934.96,2.41,+0.01%,1517514
"07/30/2021 15:52",34922.41,34935.54,34922.41,34932.55,10.49,+0.03%,1040154
"07/30/2021 15:51",34911.28,34922.06,34911.26,34922.06,10.71,+0.03%,1144235
"07/30/2021 15:50",34923.53,34923.53,34909.96,34911.35,-12.61,-0.04%,1945587
"07/30/2021 15:49",34916.96,34925.83,34916.96,34923.96,7.03,+0.02%,816194
"07/30/2021 15:48",34921.59,34923.17,34916.91,34916.93,-4.27,-0.01%,790413
"07/30/2021 15:47",34920.91,34923.4,34918.79,34921.2,1.2,0.00%,645998
"07/30/2021 15:46",34913.39,34923.19,34913.39,34920,7.48,+0.02%,683614
"07/30/2021 15:45",34913.03,34914.54,34911.6,34912.52,-0.76,0.00%,702977
"07/30/2021 15:44",34919.98,34926.48,34912.9,34913.28,-6.93,-0.02%,719720
"07/30/2021 15:43",34921.7,34925.51,34918.09,34920.21,-0.58,0.00%,597431
"07/30/2021 15:42",34927.19,34927.19,34920.77,34920.79,-6.14,-0.02%,607180
