Time,Open,High,Low,Last,Change,%Chg,Volume
"09/30/2021 17:09",33843.92,33843.92,33843.92,33843.92,0,0.00%,1370063
"09/30/2021 16:20",33843.92,33843.92,33843.92,33843.92,0,0.00%,19
"09/30/2021 16:19",33843.92,33843.92,33843.92,33843.92,0,0.00%,18468
"09/30/2021 16:18",33843.92,33843.92,33843.92,33843.92,0,0.00%,63855
"09/30/2021 16:17",33843.92,33843.92,33843.92,33843.92,0,0.00%,28693
"09/30/2021 16:16",33843.92,33843.92,33843.92,33843.92,0,0.00%,148683
"09/30/2021 16:15",33843.92,33843.92,33843.92,33843.92,0,0.00%,32344
"09/30/2021 16:14",33843.92,33843.92,33843.92,33843.92,0,0.00%,289922
"09/30/2021 16:13",33843.92,33843.92,33843.92,33843.92,0,0.00%,226308
"09/30/2021 16:12",33843.92,33843.92,33843.92,33843.92,0,0.00%,13774
"09/30/2021 16:11",33843.92,33843.92,33843.92,33843.92,0,0.00%,104612
"09/30/2021 16:10",33843.92,33843.92,33843.92,33843.92,0,0.00%,209406
"09/30/2021 16:09",33843.92,33843.92,33843.92,33843.92,0,0.00%,211725
"09/30/2021 16:08",33843.92,33843.92,33843.92,33843.92,0,0.00%,341127
"09/30/2021 16:07",33843.92,33843.92,33843.92,33843.92,0,0.00%,400376
"09/30/2021 16:06",33843.92,33843.92,33843.92,33843.92,0,0.00%,526693
"09/30/2021 16:05",33843.92,33843.92,33843.92,33843.92,0,0.00%,703394
"09/30/2021 16:04",33843.92,33843.92,33843.92,33843.92,0,0.00%,1794727
"09/30/2021 16:03",33843.92,33843.92,33843.92,33843.92,0,0.00%,1039795
"09/30/2021 16:02",33843.33,33844.12,33843.33,33843.92,0.59,0.00%,10158523
"09/30/2021 16:01",33843.33,33843.33,33843.33,33843.33,0,0.00%,1184907
"09/30/2021 16:00",33835.39,33843.33,33833.32,33843.33,9.09,+0.03%,42675265
"09/30/2021 15:59",33900.24,33900.24,33834.24,33834.24,-67.46,-0.20%,10059127
"09/30/2021 15:58",33881.16,33901.7,33872.13,33901.7,20.5,+0.06%,4581806
"09/30/2021 15:57",33879.11,33894.66,33867.25,33881.2,2.83,+0.01%,3042245
"09/30/2021 15:56",33902.98,33902.98,33878.37,33878.37,-25.35,-0.07%,2890779
"09/30/2021 15:55",33914.71,33916.08,33900.15,33903.72,-11.64,-0.03%,3342095
"09/30/2021 15:54",33941.63,33941.63,33906.93,33915.36,-27.38,-0.08%,3437855
"09/30/2021 15:53",33921.33,33955.13,33921.33,33942.74,22.06,+0.07%,2132827
"09/30/2021 15:52",33919.24,33937.05,33913.58,33920.68,1.26,0.00%,1992348
"09/30/2021 15:51",33922.84,33926.9,33912.11,33919.42,-1.47,0.00%,2130410
"09/30/2021 15:50",33946.62,33946.62,33917.31,33920.89,-25.04,-0.07%,3308679
"09/30/2021 15:49",33952.28,33970.88,33945.04,33945.93,-5.11,-0.02%,1472167
