Time,Open,High,Low,Last,Change,%Chg,Volume
"10/29/2021 17:03",35819.56,35819.56,35819.56,35819.56,0,0.00%,8593585
"10/29/2021 16:20",35819.56,35819.56,35819.56,35819.56,0,0.00%,0
"10/29/2021 16:19",35819.56,35819.56,35819.56,35819.56,0,0.00%,46667
"10/29/2021 16:18",35819.56,35819.56,35819.56,35819.56,0,0.00%,492652
"10/29/2021 16:17",35819.56,35819.56,35819.56,35819.56,0,0.00%,9547
"10/29/2021 16:16",35819.56,35819.56,35819.56,35819.56,0,0.00%,15291
"10/29/2021 16:15",35819.56,35819.56,35819.56,35819.56,0,0.00%,344782
"10/29/2021 16:14",35819.56,35819.56,35819.56,35819.56,0,0.00%,20280
"10/29/2021 16:13",35819.56,35819.56,35819.56,35819.56,0,0.00%,9219
"10/29/2021 16:12",35819.56,35819.56,35819.56,35819.56,0,0.00%,7570
"10/29/2021 16:11",35819.56,35819.56,35819.56,35819.56,0,0.00%,244996
"10/29/2021 16:10",35819.56,35819.56,35819.56,35819.56,0,0.00%,161902
"10/29/2021 16:09",35819.56,35819.56,35819.56,35819.56,0,0.00%,40596
"10/29/2021 16:08",35819.56,35819.56,35819.56,35819.56,0,0.00%,26068
"10/29/2021 16:07",35819.56,35819.56,35819.56,35819.56,0,0.00%,1516704
"10/29/2021 16:06",35819.56,35819.56,35819.56,35819.56,0,0.00%,253931
"10/29/2021 16:05",35819.56,35819.56,35819.56,35819.56,0,0.00%,668043
"10/29/2021 16:04",35819.49,35819.56,35819.49,35819.56,0.07,0.00%,9805753
"10/29/2021 16:03",35819.43,35819.49,35819.43,35819.49,0.06,0.00%,7426244
"10/29/2021 16:02",35819.59,35819.59,35819.33,35819.43,-0.16,0.00%,4613766
"10/29/2021 16:01",35819.59,35819.59,35819.59,35819.59,0,0.00%,442833
"10/29/2021 16:00",35824.93,35824.93,35819.59,35819.59,3.58,+0.01%,46491287
"10/29/2021 15:59",35844.02,35844.02,35813.5,35816.01,-29.43,-0.08%,5808901
"10/29/2021 15:58",35838.23,35849.22,35838.23,35845.44,7.5,+0.02%,3207186
"10/29/2021 15:57",35826.41,35846.96,35824.92,35837.94,9.84,+0.03%,3002771
"10/29/2021 15:56",35841.09,35843.36,35826.77,35828.1,-13.67,-0.04%,2443815
"10/29/2021 15:55",35846.14,35852.53,35838.87,35841.77,-4.73,-0.01%,2995931
"10/29/2021 15:54",35838.61,35849.11,35833.38,35846.5,7.47,+0.02%,3370508
"10/29/2021 15:53",35846.37,35847.43,35836.08,35839.03,-6.5,-0.02%,1973695
"10/29/2021 15:52",35834.34,35846.49,35834.27,35845.53,12.27,+0.03%,1705110
"10/29/2021 15:51",35813.14,35835.18,35810.98,35833.26,20.68,+0.06%,1634714
"10/29/2021 15:50",35801.82,35814.06,35783.09,35812.58,13.38,+0.04%,2662994
"10/29/2021 15:49",35807.77,35809.34,35798.59,35799.2,-9.01,-0.03%,1488593
"10/29/2021 15:48",35805.21,35808.21,35800.52,35808.21,2.97,+0.01%,1193562
"10/29/2021 15:47",35798.67,35810.32,35795.54,35805.24,6.68,+0.02%,1417520
"10/29/2021 15:46",35794.73,35798.56,35784.72,35798.56,3.91,+0.01%,1065240
"10/29/2021 15:45",35784.32,35795.63,35782.25,35794.65,10.66,+0.03%,967254
"10/29/2021 15:44",35786.95,35787.25,35782.43,35783.99,-2.87,-0.01%,822100
"10/29/2021 15:43",35777.65,35787.15,35769.33,35786.86,9.09,+0.03%,1109370
"10/29/2021 15:42",35776.44,35782.74,35776.44,35777.77,1.13,0.00%,927480
"10/29/2021 15:41",35763.12,35776.9,35763.12,35776.64,11.94,+0.03%,959607
"10/29/2021 15:40",35758.46,35768.52,35757.41,35764.7,6.58,+0.02%,1553659
"10/29/2021 15:39",35764.33,35764.67,35758.12,35758.12,-5.76,-0.02%,957376
"10/29/2021 15:38",35754.72,35766.84,35754.63,35763.88,8.95,+0.03%,1138527
"10/29/2021 15:37",35753.57,35759.22,35753.2,35754.93,0.45,0.00%,911281
"10/29/2021 15:36",35756.33,35757.99,35752.57,35754.48,-1.9,-0.01%,836541
"10/29/2021 15:35",35745.75,35756.38,35743.19,35756.38,10.44,+0.03%,1130423
"10/29/2021 15:34",35736.7,35746.39,35736.3,35745.94,8,+0.02%,732113
"10/29/2021 15:33",35742.57,35744.78,35737.94,35737.94,-4.26,-0.01%,627452
"10/29/2021 15:32",35735.03,35744.66,35734.91,35742.2,7.26,+0.02%,747457
"10/29/2021 15:31",35729.17,35736.46,35729.17,35734.94,5.92,+0.02%,806495
"10/29/2021 15:30",35728.95,35730.32,35723.47,35729.02,-0.11,0.00%,776240
"10/29/2021 15:29",35733.71,35734.5,35728.12,35729.13,-4.47,-0.01%,712562
"10/29/2021 15:28",35726.98,35734.48,35726.98,35733.6,6.5,+0.02%,674972
"10/29/2021 15:27",35721.39,35727.1,35720.47,35727.1,5.9,+0.02%,892450
"10/29/2021 15:26",35714.93,35726.78,35714.93,35721.2,6.46,+0.02%,856295
"10/29/2021 15:25",35716.76,35720.36,35714.67,35714.74,-2.03,-0.01%,664574
"10/29/2021 15:24",35726.54,35727.57,35716.51,35716.77,-9.86,-0.03%,655609
"10/29/2021 15:23",35737.38,35737.38,35726.61,35726.63,-10.78,-0.03%,776132
"10/29/2021 15:22",35735.62,35738.46,35733.19,35737.41,2.25,+0.01%,763007
"10/29/2021 15:21",35726.37,35735.23,35724.11,35735.16,8.89,+0.02%,721061
"10/29/2021 15:20",35725.61,35727.81,35720.87,35726.27,0.73,0.00%,725295
"10/29/2021 15:19",35710.89,35725.74,35710.89,35725.54,15.21,+0.04%,870896
"10/29/2021 15:18",35723.13,35723.13,35710.33,35710.33,-13.73,-0.04%,645055
"10/29/2021 15:17",35735.07,35735.07,35723.67,35724.06,-11,-0.03%,692277
"10/29/2021 15:16",35735.23,35739.82,35735.06,35735.06,0.06,0.00%,720151
"10/29/2021 15:15",35740.34,35741.23,35734.92,35735,-4.83,-0.01%,582635
"10/29/2021 15:14",35738.54,35744.76,35737.63,35739.83,1.51,0.00%,675597
"10/29/2021 15:13",35736.2,35740.15,35733.84,35738.32,1.95,+0.01%,433080
"10/29/2021 15:12",35733.54,35736.76,35729.29,35736.37,2.42,+0.01%,466975
"10/29/2021 15:11",35743.52,35743.56,35733.92,35733.95,-8.84,-0.02%,479573
"10/29/2021 15:10",35745.07,35745.4,35740.47,35742.79,-2.3,-0.01%,438608
"10/29/2021 15:09",35755.69,35756.34,35740.8,35745.09,-8.81,-0.02%,565957
"10/29/2021 15:08",35753.58,35754.24,35750.73,35753.9,0.13,0.00%,509355
"10/29/2021 15:07",35746.27,35756.94,35746.11,35753.77,7.64,+0.02%,586728
"10/29/2021 15:06",35748.41,35748.41,35743.12,35746.13,-2.81,-0.01%,476900
"10/29/2021 15:05",35744.17,35749.96,35740.07,35748.94,4.93,+0.01%,534238
"10/29/2021 15:04",35739.63,35744.01,35736.74,35744.01,4.01,+0.01%,458079
"10/29/2021 15:03",35740.16,35740.95,35735.95,35740,-0.21,0.00%,672296
"10/29/2021 15:02",35749.06,35749.07,35740.11,35740.21,-8.91,-0.02%,543138
"10/29/2021 15:01",35741.69,35753.83,35741.1,35749.12,7.99,+0.02%,521460
"10/29/2021 15:00",35745.31,35748.15,35741.02,35741.13,-4.71,-0.01%,405825
"10/29/2021 14:59",35742.06,35747.93,35739.22,35745.84,4.28,+0.01%,389550
"10/29/2021 14:58",35750.7,35750.91,35741.13,35741.56,-9.13,-0.03%,350562
"10/29/2021 14:57",35750.62,35751.94,35749.24,35750.69,0.15,0.00%,344828
"10/29/2021 14:56",35757.39,35757.39,35750.54,35750.54,-7.18,-0.02%,361186
"10/29/2021 14:55",35751.29,35759.02,35751.29,35757.72,6.06,+0.02%,392711
"10/29/2021 14:54",35753.96,35756.23,35751.66,35751.66,-2.16,-0.01%,382675
"10/29/2021 14:53",35755.96,35757.71,35752.15,35753.82,-1.96,-0.01%,395667
"10/29/2021 14:52",35752.23,35755.83,35751.17,35755.78,3.87,+0.01%,863781
"10/29/2021 14:51",35753.87,35754.65,35751.76,35751.91,-2.05,-0.01%,316173
"10/29/2021 14:50",35746.65,35754.02,35742.82,35753.96,7.02,+0.02%,422430
"10/29/2021 14:49",35742.53,35746.96,35741.28,35746.94,4.54,+0.01%,459764
"10/29/2021 14:48",35737.73,35742.66,35734.96,35742.4,4.82,+0.01%,383597
"10/29/2021 14:47",35744.55,35745.52,35737.17,35737.58,-7.06,-0.02%,350757
"10/29/2021 14:46",35752.27,35752.27,35744.64,35744.64,-7.7,-0.02%,472174
"10/29/2021 14:45",35742.86,35752.34,35742.86,35752.34,10.2,+0.03%,418169
"10/29/2021 14:44",35741.98,35743.7,35739.67,35742.14,0.39,0.00%,466672
"10/29/2021 14:43",35736.42,35744.13,35735.65,35741.75,5.4,+0.02%,474374
"10/29/2021 14:42",35727.09,35737.89,35725.95,35736.35,9.39,+0.03%,458735
"10/29/2021 14:41",35725.37,35726.96,35721.65,35726.96,1.61,0.00%,401939
"10/29/2021 14:40",35715.42,35725.5,35715.42,35725.35,10.13,+0.03%,626708
"10/29/2021 14:39",35716.02,35720.48,35715.22,35715.22,-1.33,0.00%,513123
"10/29/2021 14:38",35722.64,35722.83,35716.55,35716.55,-6.28,-0.02%,656983
"10/29/2021 14:37",35718.28,35723.5,35715.99,35722.83,4.44,+0.01%,399844
"10/29/2021 14:36",35721.5,35722.27,35716.85,35718.39,-2.84,-0.01%,479676
"10/29/2021 14:35",35709.32,35721.6,35709.32,35721.23,11.55,+0.03%,577999
"10/29/2021 14:34",35719.9,35720.08,35708.11,35709.68,-9.87,-0.03%,563132
"10/29/2021 14:33",35713.27,35720.15,35711.88,35719.55,6.14,+0.02%,644659
"10/29/2021 14:32",35717.14,35717.69,35712,35713.41,-3.68,-0.01%,486769
"10/29/2021 14:31",35712.65,35717.09,35711.87,35717.09,4.87,+0.01%,623304
