Time,Open,High,Low,Last,Change,%Chg,Volume
"11/19/2021 17:08",35601.98,35601.98,35601.98,35601.98,0,0.00%,5816940
"11/19/2021 16:20",35601.98,35601.98,35601.98,35601.98,0,0.00%,153
"11/19/2021 16:19",35601.98,35601.98,35601.98,35601.98,0,0.00%,373463
"11/19/2021 16:18",35601.98,35601.98,35601.98,35601.98,0,0.00%,8961
"11/19/2021 16:17",35601.98,35601.98,35601.98,35601.98,0,0.00%,7927
"11/19/2021 16:16",35601.98,35601.98,35601.98,35601.98,0,0.00%,244397
"11/19/2021 16:15",35601.98,35601.98,35601.98,35601.98,0,0.00%,13447
"11/19/2021 16:14",35601.98,35601.98,35601.98,35601.98,0,0.00%,2967
"11/19/2021 16:13",35601.98,35601.98,35601.98,35601.98,0,0.00%,7034
"11/19/2021 16:12",35601.98,35601.98,35601.98,35601.98,0,0.00%,46683
"11/19/2021 16:11",35601.98,35601.98,35601.98,35601.98,0,0.00%,73795
"11/19/2021 16:10",35601.98,35601.98,35601.98,35601.98,0,0.00%,680906
"11/19/2021 16:09",35601.98,35601.98,35601.98,35601.98,0,0.00%,11565
"11/19/2021 16:08",35601.98,35601.98,35601.98,35601.98,0,0.00%,173757
"11/19/2021 16:07",35601.98,35601.98,35601.98,35601.98,0,0.00%,13156
"11/19/2021 16:06",35601.98,35601.98,35601.98,35601.98,0,0.00%,351697
"11/19/2021 16:05",35601.98,35601.98,35601.98,35601.98,0,0.00%,2764259
"11/19/2021 16:04",35601.71,35601.98,35601.71,35601.98,0.27,0.00%,432647
"11/19/2021 16:03",35601.65,35601.71,35601.65,35601.71,0.06,0.00%,4477943
"11/19/2021 16:02",35602.18,35602.18,35601.65,35601.65,-0.53,0.00%,7990964
"11/19/2021 16:01",35602.18,35602.18,35602.18,35602.18,0,0.00%,1826522
"11/19/2021 16:00",35602.08,35602.24,35601.91,35602.18,1,0.00%,32105378
"11/19/2021 15:59",35605.02,35616.84,35601.18,35601.18,-4.06,-0.01%,6972160
"11/19/2021 15:58",35602.78,35606.78,35601.13,35605.24,2.77,+0.01%,3684138
"11/19/2021 15:57",35601.95,35605.4,35599.59,35602.47,0.29,0.00%,2938212
"11/19/2021 15:56",35594.35,35602.72,35593.66,35602.18,6.69,+0.02%,2993378
"11/19/2021 15:55",35587.01,35596.25,35578.61,35595.49,8.02,+0.02%,3062451
"11/19/2021 15:54",35582.43,35592.09,35580.79,35587.47,4.42,+0.01%,2937357
"11/19/2021 15:53",35583.94,35585.83,35580.69,35583.05,-0.94,0.00%,2047708
"11/19/2021 15:52",35586.01,35588.85,35582.22,35583.99,-2.5,-0.01%,1633638
"11/19/2021 15:51",35591.52,35593.61,35586.15,35586.49,-4.23,-0.01%,1677957
"11/19/2021 15:50",35611.33,35611.33,35589.95,35590.72,-20.48,-0.06%,2181461
"11/19/2021 15:49",35608.96,35612.22,35607.62,35611.2,2.32,+0.01%,1508903
"11/19/2021 15:48",35601.06,35609.38,35599.47,35608.88,8.05,+0.02%,1631918
"11/19/2021 15:47",35596.21,35603.38,35594.98,35600.83,4.27,+0.01%,1225655
"11/19/2021 15:46",35593.94,35597.53,35589.19,35596.56,5.65,+0.02%,1536574
"11/19/2021 15:45",35591.26,35596.29,35579.32,35590.91,-1.04,0.00%,1913629
"11/19/2021 15:44",35601.44,35601.44,35590.96,35591.95,-9.89,-0.03%,1163643
"11/19/2021 15:43",35602.51,35603.66,35598.87,35601.84,-0.65,0.00%,1001319
"11/19/2021 15:42",35607.54,35610.47,35602.49,35602.49,-5.36,-0.02%,1212468
"11/19/2021 15:41",35606.8,35611.95,35606.8,35607.85,1.1,0.00%,1434831
"11/19/2021 15:40",35613.7,35614.88,35606.75,35606.75,-7.02,-0.02%,1207330
"11/19/2021 15:39",35613.02,35615.24,35610.61,35613.77,0.92,0.00%,912473
"11/19/2021 15:38",35616.91,35617.02,35610.26,35612.85,-4.19,-0.01%,859100
"11/19/2021 15:37",35616.77,35621.09,35616.77,35617.04,0.18,0.00%,1001589
"11/19/2021 15:36",35626.41,35626.41,35616.86,35616.86,-9.83,-0.03%,1174885
"11/19/2021 15:35",35619.95,35629.06,35619.1,35626.69,6.88,+0.02%,908868
"11/19/2021 15:34",35620.13,35622.02,35618.47,35619.81,-0.43,0.00%,791294
"11/19/2021 15:33",35616.17,35621.35,35615.16,35620.24,4.43,+0.01%,736228
"11/19/2021 15:32",35612.46,35615.81,35609.92,35615.81,3.27,+0.01%,758712
"11/19/2021 15:31",35602.05,35612.54,35601.31,35612.54,10.95,+0.03%,803545
"11/19/2021 15:30",35607.6,35607.6,35601.48,35601.59,-6.69,-0.02%,934606
"11/19/2021 15:29",35609.06,35612.04,35607.71,35608.28,-0.62,0.00%,605827
"11/19/2021 15:28",35600.57,35610.51,35600.57,35608.9,8.34,+0.02%,676345
"11/19/2021 15:27",35600.02,35601.63,35598.64,35600.56,0.72,0.00%,1242080
"11/19/2021 15:26",35606.38,35606.38,35596.24,35599.84,-6.9,-0.02%,695742
"11/19/2021 15:25",35601.31,35607.07,35598.46,35606.74,5.4,+0.02%,624615
"11/19/2021 15:24",35595.53,35602.08,35595.53,35601.34,5.87,+0.02%,654757
"11/19/2021 15:23",35594.5,35598.44,35594.5,35595.47,0.99,0.00%,487713
"11/19/2021 15:22",35595.19,35595.19,35590.74,35594.48,-0.78,0.00%,526586
"11/19/2021 15:21",35596.64,35596.72,35593.4,35595.26,-1.63,0.00%,687096
"11/19/2021 15:20",35596.61,35602.41,35596.33,35596.89,0.59,0.00%,560031
"11/19/2021 15:19",35596.54,35597.72,35592.69,35596.3,-0.23,0.00%,529110
"11/19/2021 15:18",35588.96,35597.13,35588.47,35596.53,7.7,+0.02%,686974
"11/19/2021 15:17",35597.5,35598.56,35588.8,35588.83,-8.59,-0.02%,539073
"11/19/2021 15:16",35597.08,35602.93,35596.12,35597.42,0.29,0.00%,628216
"11/19/2021 15:15",35603.55,35603.55,35596.53,35597.13,-5.98,-0.02%,566951
"11/19/2021 15:14",35614.2,35614.2,35602.9,35603.11,-10.76,-0.03%,614214
"11/19/2021 15:13",35607.68,35614.29,35607.68,35613.87,6.09,+0.02%,517794
"11/19/2021 15:12",35611.29,35611.68,35607.76,35607.78,-3.55,-0.01%,593804
"11/19/2021 15:11",35605.34,35611.33,35603.22,35611.33,5.95,+0.02%,560833
"11/19/2021 15:10",35618.98,35618.98,35605.3,35605.38,-14.05,-0.04%,594818
"11/19/2021 15:09",35620.93,35621.51,35616.55,35619.43,-1.83,-0.01%,652450
"11/19/2021 15:08",35613.67,35621.26,35612.03,35621.26,7.83,+0.02%,591202
"11/19/2021 15:07",35612.94,35614.93,35610.26,35613.43,0.71,0.00%,768635
"11/19/2021 15:06",35608.14,35612.72,35605.94,35612.72,4.78,+0.01%,654736
"11/19/2021 15:05",35614.3,35614.64,35606.89,35607.94,-6.45,-0.02%,576082
"11/19/2021 15:04",35617.9,35617.97,35614.39,35614.39,-4.06,-0.01%,511711
"11/19/2021 15:03",35621.44,35621.76,35618.14,35618.45,-2.56,-0.01%,638040
"11/19/2021 15:02",35623.02,35624.34,35620.47,35621.01,-2.72,-0.01%,584538
"11/19/2021 15:01",35614.62,35624.35,35614.62,35623.73,10.23,+0.03%,752043
"11/19/2021 15:00",35607.47,35613.5,35604.74,35613.5,5.72,+0.02%,637704
"11/19/2021 14:59",35609.4,35609.4,35603.76,35607.78,-1.36,0.00%,516193
"11/19/2021 14:58",35610.87,35610.87,35605.77,35609.14,-1.99,-0.01%,558409
"11/19/2021 14:57",35613.69,35614.38,35610.94,35611.13,-2.84,-0.01%,466010
"11/19/2021 14:56",35615.63,35618.48,35608.13,35613.97,-1.2,0.00%,686711
"11/19/2021 14:55",35614.12,35615.17,35610.52,35615.17,0.92,0.00%,502144
"11/19/2021 14:54",35613.33,35615.93,35612.83,35614.25,1.13,0.00%,455204
"11/19/2021 14:53",35615.63,35619.31,35612.67,35613.12,-2.05,-0.01%,545554
"11/19/2021 14:52",35620.68,35621.1,35614.82,35615.17,-5.64,-0.02%,482036
"11/19/2021 14:51",35616.5,35623.07,35616.5,35620.81,4.23,+0.01%,481059
"11/19/2021 14:50",35610.25,35617.03,35606.77,35616.58,7.15,+0.02%,667446
"11/19/2021 14:49",35608.17,35609.7,35606.36,35609.43,1.57,0.00%,559340
"11/19/2021 14:48",35605.12,35609.5,35605.12,35607.86,2.78,+0.01%,575447
"11/19/2021 14:47",35607.79,35608.94,35604.33,35605.08,-2.84,-0.01%,521591
"11/19/2021 14:46",35607.19,35607.92,35605.2,35607.92,0.27,0.00%,516599
"11/19/2021 14:45",35607.06,35607.65,35600.28,35607.65,0.91,0.00%,691674
"11/19/2021 14:44",35603.08,35608.56,35602.67,35606.74,3.39,+0.01%,535557
"11/19/2021 14:43",35598.16,35603.51,35596.26,35603.35,4.71,+0.01%,465274
"11/19/2021 14:42",35607.64,35608.98,35597.89,35598.64,-8.89,-0.02%,698568
"11/19/2021 14:41",35604.33,35609.39,35604.32,35607.53,3.06,+0.01%,596081
"11/19/2021 14:40",35602.88,35604.47,35599.17,35604.47,1.08,0.00%,447226
"11/19/2021 14:39",35607.97,35608.16,35603.39,35603.39,-4.71,-0.01%,691675
"11/19/2021 14:38",35605.02,35608.86,35604.37,35608.1,3.63,+0.01%,581744
"11/19/2021 14:37",35602.43,35605.32,35601.52,35604.47,2.15,+0.01%,526354
"11/19/2021 14:36",35597.06,35603.11,35596.86,35602.32,5.57,+0.02%,518273
"11/19/2021 14:35",35598.34,35598.58,35590.91,35596.75,-1.96,-0.01%,467479
"11/19/2021 14:34",35590.51,35599.57,35587.1,35598.71,8.24,+0.02%,651326
"11/19/2021 14:33",35608.03,35608.03,35588.95,35590.47,-17.12,-0.05%,857976
"11/19/2021 14:32",35611.97,35611.97,35607.59,35607.59,-4.05,-0.01%,667821
"11/19/2021 14:31",35616.14,35616.49,35610.22,35611.64,-4.08,-0.01%,531938
